tag,ft,cohesion,frictionDeg,Gf,gfShearFactor,crushCap,bts_peak_MPa,bts_sigma_t_MPa,bts_broken,bts_shear_pct,bts_diametral_pct,bts_locked,bts_rc,bts_elapsed_s,tx20_peak_MPa,tx20_sigma_t_MPa,tx20_broken,tx20_shear_pct,tx20_diametral_pct,tx20_locked,tx20_rc,tx20_elapsed_s,ucs_peak_MPa,ucs_sigma_t_MPa,ucs_broken,ucs_shear_pct,ucs_diametral_pct,ucs_locked,ucs_rc,ucs_elapsed_s,ucs_eps_pk,tx20_eps_pk
E004,32811593.773214042,10660889.860960098,45.03466353198719,35.08504360850982,2.029680564283338,248579691.33559942,,11.7535,,,,LOCKED,0,15.3,386.695,,412,65.534,,NOT locked,0,523.6,108.88,,449,51.4477,,LOCKED,0,747.0,0.211,0.41
E005,21216535.476031106,10165792.890241878,43.88935799329872,51.01682360543664,9.939079746227211,1466695712.5103285,,13.3733,,,,LOCKED,0,23.0,315.124,,170,13.5294,,NOT locked,0,408.6,139.489,,290,22.4138,,NOT locked,0,675.2,0.326,0.6582
E006,28713044.55864305,10155696.245752778,38.79972794016315,78.86554979178473,1.00618792865186,1335094561.439542,,11.5673,,,,LOCKED,0,21.8,207.353,,446,83.8565,,NOT locked,0,453.2,83.9219,,309,75.0809,,NOT locked,0,648.6,0.1376,0.4596
E007,20955911.683276694,15038442.768298682,40.578507880183395,42.22059013179423,2.086693070311144,925945556.7938788,,13.0463,,,,LOCKED,0,20.6,239.408,,473,76.9556,,NOT locked,0,479.0,97.8964,,353,62.0397,,NOT locked,0,921.9,0.1171,0.7575
E008,20015947.31787826,11604296.170012746,43.72881492025449,50.42668892903638,8.100196663941565,993402210.4102317,,13.7395,,,,LOCKED,0,23.3,311.708,,191,28.2723,,NOT locked,0,396.8,137.628,,315,33.9683,,NOT locked,0,605.4,0.313,0.6563
E009,21108428.748682946,11289824.672584627,37.77102994579887,87.4704592791995,1.2643362942560277,1398587782.3115547,,11.7512,,,,LOCKED,0,22.1,200.088,,357,84.0336,,NOT locked,0,449.6,86.4654,,240,77.5,,LOCKED,0,538.6,0.1685,0.3971
E010,27997028.617463715,13171299.952021593,41.03776498875958,39.0340942322439,1.3593863064768135,497035219.3386603,,11.9135,,,,LOCKED,0,16.2,232.133,,533,79.1745,,NOT locked,0,441.7,84.8894,,383,74.4125,,NOT locked,0,850.2,0.1023,0.5102
E011,28122001.790903125,15395238.685657153,39.75578715408045,45.7033165952797,2.2168655019749766,1440470536.6550682,,13.8235,,,,LOCKED,0,15.4,225.384,,488,72.541,,NOT locked,0,429.8,101.53,,274,66.4234,,NOT locked,0,726.9,0.1325,0.4183
E012,23463463.80547129,15591456.458814036,41.22327722788283,37.61237494389684,4.774644078997101,1391956175.4393427,,14.0663,,,,LOCKED,0,18.5,258.571,,361,57.8947,,NOT locked,0,481.9,117.811,,321,46.4174,,NOT locked,0,808.2,0.2669,0.4588
E013,36767178.86731154,10529604.720601382,40.84355782627169,36.12997201841896,1.5083171318437545,679020023.3045343,,11.2585,,,,LOCKED,0,17.6,223.005,,530,71.3208,,NOT locked,0,514.3,82.6048,,339,67.2566,,NOT locked,0,821.0,0.1252,0.4432
E014,31630676.054539412,10303478.139170457,36.083967919220584,31.84982551728989,6.230224586820853,1414235628.501897,,12.4491,,,,LOCKED,0,24.1,178.905,,298,47.3154,,NOT locked,0,492.0,85.8902,,236,41.9492,,LOCKED,0,513.3,0.1687,0.3192
E015,29932866.055594213,12334144.750018723,39.57407510440841,30.642870349295073,3.417068976744209,456901814.6567917,,12.0598,,,,LOCKED,0,19.5,220.363,,459,58.3878,,NOT locked,0,446.3,96.5505,,227,60.793,,LOCKED,0,620.2,0.2205,0.4807
