tag,ft,cohesion,frictionDeg,Gf,gfShearFactor,crushCap,bts_peak_MPa,bts_sigma_t_MPa,bts_broken,bts_shear_pct,bts_diametral_pct,bts_locked,bts_rc,bts_elapsed_s,tx20_peak_MPa,tx20_sigma_t_MPa,tx20_broken,tx20_shear_pct,tx20_diametral_pct,tx20_locked,tx20_rc,tx20_elapsed_s,ucs_peak_MPa,ucs_sigma_t_MPa,ucs_broken,ucs_shear_pct,ucs_diametral_pct,ucs_locked,ucs_rc,ucs_elapsed_s,ucs_eps_pk,tx20_eps_pk
L000,31363636.363636367,85454545.45454545,31.875,204.88636363636363,1.875,510227272.72727275,,37.0405,,,,NOT locked,0,0.0,382.782,,296,78.0405,,NOT locked,0,0.0,317.318,,216,68.5185,,LOCKED,0,0.0,0.369,0.4417
L001,42272727.272727266,16363636.363636363,15.511363636363637,125.11363636363637,6.625,1426136363.6363637,,12.9714,,,,LOCKED,0,0.0,113.957,,68,83.8235,,NOT locked,0,0.0,63.6659,,53,56.6038,,NOT locked,0,0.0,0.1299,0.0862
L002,57727272.72727273,10909090.909090908,53.35227272727273,76.02272727272727,1.625,864772727.2727273,,18.1628,,,,NOT locked,0,0.0,634.315,,298,44.9664,,NOT locked,0,0.0,223.819,,488,37.5,,NOT locked,0,0.0,0.4155,0.7787
L003,38636363.63636364,14545454.545454545,48.23863636363637,229.4318181818182,8.125,539772727.2727273,,22.3,,,,NOT locked,0,0.0,593.17,,57,0,,NOT locked,0,0.0,275.806,,143,14.6853,,NOT locked,0,0.0,0.5387,0.7815
L004,50454545.45454545,38181818.18181819,26.761363636363637,94.43181818181819,2.375,392045454.54545456,,24.7407,,,48,LOCKED,0,0.0,187.224,,329,69.9088,,NOT locked,0,0.0,134.096,,114,58.7719,,LOCKED,0,0.0,0.1533,0.2077
L005,27727272.727272727,67272727.27272728,47.21590909090909,39.20454545454545,9.125,717045454.5454545,,37.0477,,,,NOT locked,0,0.0,771.606,,358,66.2011,,NOT locked,0,0.0,607.074,,414,43.4783,,LOCKED,0,0.0,0.4233,0.5729
L006,40454545.45454545,80000000.0,21.647727272727273,143.52272727272728,5.125,1485227272.7272727,,36.95,,,,NOT locked,0,0.0,322.227,,167,54.491,,NOT locked,0,0.0,247.52,,139,47.482,,LOCKED,0,0.0,0.288,0.3303
L007,33181818.18181818,45454545.45454545,59.48863636363637,223.29545454545456,5.375,953409090.909091,,36.6269,,,,NOT locked,0,0.0,686.242,,0,,,NOT locked,0,0.0,615.408,,249,33.7349,,NOT locked,0,0.0,0.7469,0.7964
L008,37727272.72727273,89090909.0909091,30.852272727272727,247.84090909090907,4.875,1307954545.4545455,,37.0399,,,,NOT locked,0,0.0,435.087,,134,57.4627,,NOT locked,0,0.0,330.58,,164,40.8537,,LOCKED,0,0.0,0.3839,0.453
L009,28636363.636363637,74545454.54545453,39.03409090909091,33.06818181818182,6.125,362500000.0,,37.0646,,,,NOT locked,0,0.0,585.73,,348,69.8276,,NOT locked,0,0.0,313.458,,378,51.8519,,LOCKED,0,0.0,0.3672,0.4591
L010,26818181.818181816,36363636.36363636,41.07954545454545,51.47727272727273,4.125,1248863636.3636363,,25.9094,,,,LOCKED,0,0.0,381.736,,455,67.6923,,NOT locked,0,0.0,176.488,,330,40.9091,,NOT locked,0,0.0,0.203,0.6183
L011,20454545.454545453,23636363.636363633,24.715909090909093,100.56818181818181,10.375,332954545.4545455,,18.1023,,,,LOCKED,0,0.0,163.635,,93,64.5161,,NOT locked,0,0.0,108.932,,87,45.977,,NOT locked,0,0.0,0.1646,0.2336
L012,45000000.0,52727272.72727273,17.55681818181818,278.52272727272725,7.875,1160227272.7272727,,31.8693,,,,NOT locked,0,0.0,218.676,,65,66.1538,,NOT locked,0,0.0,179.683,,43,62.7907,,LOCKED,0,0.0,0.2407,0.2816
L013,44090909.09090909,40000000.0,54.375,198.75,6.875,982954545.4545455,,35.9821,,,,NOT locked,0,0.0,673.022,,0,,,NOT locked,0,0.0,734.393,,323,24.1486,,NOT locked,0,0.0,0.6428,0.7962
L014,35909090.90909091,43636363.63636364,44.14772727272727,284.65909090909093,10.875,1396590909.090909,,35.3271,,,,NOT locked,0,0.0,505.365,,40,50,,NOT locked,0,0.0,353.439,,110,37.2727,,NOT locked,0,0.0,0.4611,0.6461
L015,54090909.09090909,32727272.72727273,29.829545454545453,69.88636363636364,5.625,776136363.6363636,,24.3237,,,,LOCKED,0,0.0,200.344,,281,60.4982,,NOT locked,0,0.0,137.221,,116,43.1034,,NOT locked,0,0.0,0.1687,0.2376
L016,55000000.0,65454545.45454546,20.625,192.61363636363637,1.125,480681818.1818182,,31.6105,,,70,LOCKED,0,0.0,238.587,,322,76.7081,,NOT locked,0,0.0,196.566,,188,64.3617,,LOCKED,0,0.0,0.2267,0.2675
L017,52272727.272727266,70909090.9090909,27.78409090909091,180.34090909090907,11.625,628409090.9090909,,37.0182,,,,NOT locked,0,0.0,330.777,,114,42.1053,,NOT locked,0,0.0,273.039,,70,41.4286,,LOCKED,0,0.0,0.3359,0.4016
L018,45909090.90909091,61818181.81818182,50.28409090909091,168.0681818181818,2.125,1101136363.6363637,,37.0376,,,,NOT locked,0,0.0,827.547,,238,80.2521,,NOT locked,0,0.0,364.211,,448,66.5179,,NOT locked,0,0.0,0.4257,0.7992
L019,25909090.90909091,81818181.81818181,32.89772727272727,106.70454545454547,3.625,805681818.1818181,,37.0806,,,,NOT locked,0,0.0,380.688,,382,73.0366,,NOT locked,0,0.0,312.299,,224,58.0357,,LOCKED,0,0.0,0.3627,0.4365
L020,36818181.81818182,29090909.09090909,45.17045454545455,82.1590909090909,7.375,657954545.4545455,,25.5525,,,,LOCKED,0,0.0,380.447,,220,41.8182,,NOT locked,0,0.0,232.375,,353,35.6941,,NOT locked,0,0.0,0.2857,0.5344
L021,49545454.54545455,56363636.36363637,25.738636363636363,45.34090909090909,4.625,1130681818.1818182,,29.492,,,,LOCKED,0,0.0,238.195,,261,63.6015,,NOT locked,0,399.4,187.313,,200,47,,LOCKED,0,0.0,0.2155,0.2666
