metric,value,unit
label,out_stanne2025_rock137  trame 16  t = 240.0 us  (geometrie de reference),-
nBroken,10783,-
nComponents,60,-
noyauId,0,-
noyauFacets,10695,-
nArms,16,-
yangRadialLength,0.006481156086800005,m
longestArmAny,0.030200274301063,m
craterRmax,0.029109683717626494,m
craterRmeanSect,0.01617271373713837,m
craterRminSect,0.006840279046398194,m
craterCover,1.0,-
rmaxAllVertices,0.030200274301063,m
rmaxAllCentroids,0.02853419444165654,m
depthAll,0.03630375551699999,m
rcore,0.006,m
skin,0.001,m
