kind,id,classe,nfac,area_mm2,rmin_mm,rmax_mm,length_mm,zmin_mm,zmax_mm,n_er,n_z,orient,azimut_deg
component,0,noyau,10695,11406.5555,0.3867,30.2003,29.8136,0.0000,36.3038,0.4542,0.4599,conique,-27.4
component,1,peripherique,6,4.1041,7.3424,10.1778,2.8354,6.0539,7.3620,0.4363,0.6288,horizontale,-18.4
component,2,peripherique,4,11.4405,9.8733,13.0106,3.1372,12.5186,15.2927,0.2201,0.8513,horizontale,-20.6
component,3,peripherique,3,3.8690,8.4142,11.6721,3.2579,7.7994,9.2036,0.2793,0.3149,radiale,-50.3
component,4,peripherique,3,1.8315,8.3221,10.8918,2.5697,6.7304,7.4095,0.3275,0.6508,horizontale,32.9
component,5,centrale,3,11.9581,1.1015,3.8946,2.7932,16.9567,20.6144,0.6700,0.2407,conique,163.1
component,6,peripherique,2,2.2945,11.8139,13.3463,1.5324,0.0000,2.8859,0.1842,0.0984,radiale,-54.9
component,7,peripherique,2,2.0166,9.7758,11.5380,1.7621,5.6682,7.3306,0.4075,0.5501,conique,2.4
component,8,peripherique,2,3.9304,9.7473,13.2377,3.4904,6.6209,7.8346,0.2105,0.7753,horizontale,82.4
component,9,peripherique,2,1.8407,7.4538,9.1582,1.7044,4.7151,5.6459,0.3230,0.5763,radiale,70.2
component,10,peripherique,2,1.7782,9.0994,11.2834,2.1840,1.6080,3.6335,0.2141,0.6813,horizontale,-1.6
component,11,peripherique,2,4.6477,10.9037,12.9001,1.9963,10.7485,13.8171,0.4412,0.5536,conique,-64.7
component,12,peripherique,2,3.4161,9.8834,13.1330,3.2496,5.5774,6.0383,0.1058,0.9700,horizontale,20.9
component,13,peripherique,2,5.6042,13.5117,15.9018,2.3901,11.8418,14.5315,0.5179,0.7969,horizontale,-111.1
component,14,peripherique,2,2.5268,7.9277,9.3696,1.4419,2.8226,3.9932,0.4737,0.7903,horizontale,-86.3
component,15,peripherique,2,1.8142,8.5453,10.0870,1.5417,2.6794,3.1974,0.3434,0.9232,horizontale,16.3
component,16,peripherique,2,1.8328,7.5619,9.1257,1.5638,5.0890,6.1655,0.3742,0.6540,horizontale,155.0
component,17,peripherique,2,2.1827,8.9861,10.1778,1.1916,5.0450,7.1773,0.7862,0.5162,conique,-10.7
component,18,peripherique,2,1.2692,9.0542,10.9152,1.8610,5.0229,5.5901,0.2489,0.8606,horizontale,-3.4
component,19,peripherique,2,5.0683,10.5254,11.6662,1.1408,7.6453,9.5291,0.8523,0.5209,conique,-147.6
component,20,peripherique,2,1.7352,7.6116,8.7990,1.1874,4.0005,5.5612,0.1920,0.5651,radiale,-77.2
