frame,t,toolX,toolY,toolZ
0,0,0,0,0
1,4.99933e-05,0,0,0
2,9.99866e-05,0,0,0
3,0.00014998,0,0,0
4,0.000199973,0,0,0
5,0.000249967,0,0,0
6,0.00029996,0,0,0
