t,gripFz,sigma,sigmaPeak,nBroken
8.55354e-05,-8418.9,5.26181e+06,5.26181e+06,0
8.57307e-05,-8429.96,5.26872e+06,5.26872e+06,0
8.5926e-05,-8441.18,5.27574e+06,5.27574e+06,0
8.61213e-05,-8452.81,5.28301e+06,5.28301e+06,0
8.63166e-05,-8465.18,5.29074e+06,5.29074e+06,0
8.65119e-05,-8478.43,5.29902e+06,5.29902e+06,0
8.67071e-05,-8492.52,5.30782e+06,5.30782e+06,0
8.69024e-05,-8507.32,5.31708e+06,5.31708e+06,0
8.70977e-05,-8522.57,5.3266e+06,5.3266e+06,0
8.7293e-05,-8537.92,5.3362e+06,5.3362e+06,0
8.74883e-05,-8553.11,5.34569e+06,5.34569e+06,0
8.76836e-05,-8567.95,5.35497e+06,5.35497e+06,0
8.78789e-05,-8582.32,5.36395e+06,5.36395e+06,0
8.80742e-05,-8596.06,5.37254e+06,5.37254e+06,0
8.82694e-05,-8608.9,5.38056e+06,5.38056e+06,0
8.84647e-05,-8620.66,5.38791e+06,5.38791e+06,0
8.866e-05,-8631.26,5.39454e+06,5.39454e+06,0
8.88553e-05,-8640.63,5.40039e+06,5.40039e+06,0
8.90506e-05,-8648.75,5.40547e+06,5.40547e+06,0
8.92459e-05,-8655.63,5.40977e+06,5.40977e+06,0
8.94412e-05,-8661.33,5.41333e+06,5.41333e+06,0
8.96364e-05,-8665.93,5.4162e+06,5.4162e+06,0
8.98317e-05,-8669.59,5.41849e+06,5.41849e+06,0
9.0027e-05,-8672.53,5.42033e+06,5.42033e+06,0
9.02223e-05,-8675.04,5.4219e+06,5.4219e+06,0
9.04176e-05,-8677.57,5.42348e+06,5.42348e+06,0
9.06129e-05,-8680.5,5.42532e+06,5.42532e+06,0
9.08082e-05,-8684.1,5.42757e+06,5.42757e+06,0
9.10034e-05,-8688.56,5.43035e+06,5.43035e+06,0
9.11987e-05,-8694.1,5.43382e+06,5.43382e+06,0
9.1394e-05,-8700.82,5.43801e+06,5.43801e+06,0
9.15893e-05,-8708.72,5.44295e+06,5.44295e+06,0
9.17846e-05,-8717.67,5.44854e+06,5.44854e+06,0
9.19799e-05,-8727.28,5.45455e+06,5.45455e+06,0
9.21752e-05,-8737.09,5.46068e+06,5.46068e+06,0
9.23705e-05,-8746.75,5.46672e+06,5.46672e+06,0
9.25657e-05,-8756.03,5.47252e+06,5.47252e+06,0
9.2761e-05,-8764.79,5.47799e+06,5.47799e+06,0
9.29563e-05,-8772.97,5.4831e+06,5.4831e+06,0
9.31516e-05,-8780.64,5.4879e+06,5.4879e+06,0
9.33469e-05,-8788.06,5.49254e+06,5.49254e+06,0
9.35422e-05,-8795.88,5.49743e+06,5.49743e+06,0
9.37375e-05,-8804.92,5.50308e+06,5.50308e+06,0
9.39327e-05,-8816.02,5.51001e+06,5.51001e+06,0
9.4128e-05,-8829.99,5.51874e+06,5.51874e+06,0
9.43233e-05,-8847.24,5.52953e+06,5.52953e+06,0
9.45186e-05,-8867.75,5.54235e+06,5.54235e+06,0
9.47139e-05,-8890.99,5.55687e+06,5.55687e+06,0
9.49092e-05,-8915.99,5.57249e+06,5.57249e+06,0
9.51045e-05,-8941.74,5.58859e+06,5.58859e+06,0
9.52997e-05,-8967.45,5.60466e+06,5.60466e+06,0
9.5495e-05,-8992.65,5.62041e+06,5.62041e+06,0
9.56903e-05,-9017.11,5.63569e+06,5.63569e+06,0
9.58856e-05,-9040.7,5.65044e+06,5.65044e+06,0
9.60809e-05,-9063.37,5.66461e+06,5.66461e+06,0
9.62762e-05,-9085.24,5.67828e+06,5.67828e+06,0
9.64715e-05,-9106.49,5.69156e+06,5.69156e+06,0
9.66668e-05,-9127.32,5.70457e+06,5.70457e+06,0
9.6862e-05,-9147.9,5.71744e+06,5.71744e+06,0
9.70573e-05,-9168.48,5.7303e+06,5.7303e+06,0
9.72526e-05,-9189.51,5.74345e+06,5.74345e+06,0
9.74479e-05,-9211.74,5.75734e+06,5.75734e+06,0
9.76432e-05,-9235.87,5.77242e+06,5.77242e+06,0
9.78385e-05,-9262.42,5.78901e+06,5.78901e+06,0
9.80338e-05,-9291.62,5.80726e+06,5.80726e+06,0
9.8229e-05,-9323.2,5.827e+06,5.827e+06,0
9.84243e-05,-9356.66,5.84791e+06,5.84791e+06,0
9.86196e-05,-9391.36,5.8696e+06,5.8696e+06,0
9.88149e-05,-9426.73,5.89171e+06,5.89171e+06,0
9.90102e-05,-9462.22,5.91388e+06,5.91388e+06,0
9.92055e-05,-9497.36,5.93585e+06,5.93585e+06,0
9.94008e-05,-9531.87,5.95742e+06,5.95742e+06,0
9.9596e-05,-9565.51,5.97844e+06,5.97844e+06,0
9.97913e-05,-9598.09,5.9988e+06,5.9988e+06,0
9.99866e-05,-9629.4,6.01837e+06,6.01837e+06,0
0.000100182,-9659.31,6.03707e+06,6.03707e+06,0
0.000100377,-9687.73,6.05483e+06,6.05483e+06,0
0.000100572,-9714.63,6.07164e+06,6.07164e+06,0
0.000100768,-9740.01,6.08751e+06,6.08751e+06,0
0.000100963,-9763.95,6.10247e+06,6.10247e+06,0
0.000101158,-9786.53,6.11658e+06,6.11658e+06,0
0.000101354,-9807.92,6.12995e+06,6.12995e+06,0
0.000101549,-9828.26,6.14266e+06,6.14266e+06,0
0.000101744,-9847.77,6.15485e+06,6.15485e+06,0
0.000101939,-9866.73,6.16671e+06,6.16671e+06,0
0.000102135,-9885.47,6.17842e+06,6.17842e+06,0
0.00010233,-9904.35,6.19022e+06,6.19022e+06,0
0.000102525,-9923.88,6.20242e+06,6.20242e+06,0
0.000102721,-9944.51,6.21532e+06,6.21532e+06,0
0.000102916,-9966.34,6.22896e+06,6.22896e+06,0
0.000103111,-9989.41,6.24338e+06,6.24338e+06,0
0.000103306,-10013.6,6.25851e+06,6.25851e+06,0
0.000103502,-10038.7,6.2742e+06,6.2742e+06,0
0.000103697,-10064.4,6.29028e+06,6.29028e+06,0
0.000103892,-10090.4,6.30652e+06,6.30652e+06,0
0.000104088,-10116.4,6.32276e+06,6.32276e+06,0
0.000104283,-10142.2,6.33885e+06,6.33885e+06,0
0.000104478,-10167.5,6.35468e+06,6.35468e+06,0
0.000104673,-10192.2,6.37014e+06,6.37014e+06,0
0.000104869,-10216.2,6.38515e+06,6.38515e+06,0
0.000105064,-10239.5,6.39966e+06,6.39966e+06,0
0.000105259,-10261.8,6.41365e+06,6.41365e+06,0
0.000105455,-10283.3,6.42708e+06,6.42708e+06,0
0.00010565,-10303.9,6.43993e+06,6.43993e+06,0
0.000105845,-10323.5,6.4522e+06,6.4522e+06,0
0.00010604,-10342.3,6.46394e+06,6.46394e+06,0
0.000106236,-10360.3,6.47518e+06,6.47518e+06,0
0.000106431,-10377.5,6.48594e+06,6.48594e+06,0
0.000106626,-10394.1,6.49633e+06,6.49633e+06,0
0.000106822,-10410.3,6.50641e+06,6.50641e+06,0
0.000107017,-10426,6.51625e+06,6.51625e+06,0
0.000107212,-10441.5,6.52593e+06,6.52593e+06,0
0.000107408,-10456.8,6.53551e+06,6.53551e+06,0
0.000107603,-10472.1,6.54508e+06,6.54508e+06,0
0.000107798,-10487.4,6.55465e+06,6.55465e+06,0
0.000107993,-10502.7,6.5642e+06,6.5642e+06,0
0.000108189,-10518,6.57372e+06,6.57372e+06,0
0.000108384,-10533.1,6.58317e+06,6.58317e+06,0
0.000108579,-10547.9,6.59244e+06,6.59244e+06,0
0.000108775,-10562.3,6.60146e+06,6.60146e+06,0
0.00010897,-10576.3,6.61016e+06,6.61016e+06,0
0.000109165,-10589.6,6.6185e+06,6.6185e+06,0
0.00010936,-10602.4,6.62648e+06,6.62648e+06,0
0.000109556,-10614.6,6.6341e+06,6.6341e+06,0
0.000109751,-10626.2,6.64136e+06,6.64136e+06,0
0.000109946,-10637.3,6.64829e+06,6.64829e+06,0
0.000110142,-10648,6.65501e+06,6.65501e+06,0
0.000110337,-10658.7,6.66166e+06,6.66166e+06,0
0.000110532,-10669.4,6.66839e+06,6.66839e+06,0
0.000110727,-10680.6,6.67535e+06,6.67535e+06,0
0.000110923,-10692.3,6.68267e+06,6.68267e+06,0
0.000111118,-10704.7,6.69045e+06,6.69045e+06,0
0.000111313,-10717.9,6.6987e+06,6.6987e+06,0
0.000111509,-10731.9,6.70742e+06,6.70742e+06,0
0.000111704,-10746.3,6.71646e+06,6.71646e+06,0
0.000111899,-10761.1,6.72566e+06,6.72566e+06,0
0.000112094,-10775.8,6.7349e+06,6.7349e+06,0
0.00011229,-10790.5,6.74408e+06,6.74408e+06,0
0.000112485,-10804.9,6.75306e+06,6.75306e+06,0
0.00011268,-10818.7,6.7617e+06,6.7617e+06,0
0.000112876,-10831.8,6.7699e+06,6.7699e+06,0
0.000113071,-10844.1,6.77755e+06,6.77755e+06,0
0.000113266,-10855.4,6.7846e+06,6.7846e+06,0
0.000113461,-10865.6,6.791e+06,6.791e+06,0
0.000113657,-10874.8,6.79673e+06,6.79673e+06,0
0.000113852,-10882.9,6.80178e+06,6.80178e+06,0
0.000114047,-10889.9,6.80621e+06,6.80621e+06,0
0.000114243,-10896.1,6.81006e+06,6.81006e+06,0
0.000114438,-10901.5,6.81343e+06,6.81343e+06,0
0.000114633,-10906.3,6.81642e+06,6.81642e+06,0
0.000114828,-10910.7,6.81919e+06,6.81919e+06,0
0.000115024,-10915.1,6.82192e+06,6.82192e+06,0
0.000115219,-10919.7,6.82481e+06,6.82481e+06,0
0.000115414,-10924.9,6.82805e+06,6.82805e+06,0
0.00011561,-10931,6.83185e+06,6.83185e+06,0
0.000115805,-10938.2,6.83635e+06,6.83635e+06,0
0.000116,-10946.6,6.84165e+06,6.84165e+06,0
0.000116195,-10956.4,6.84775e+06,6.84775e+06,0
0.000116391,-10967.1,6.85445e+06,6.85445e+06,0
0.000116586,-10978.5,6.86155e+06,6.86155e+06,0
0.000116781,-10990.1,6.86884e+06,6.86884e+06,0
0.000116977,-11001.8,6.87615e+06,6.87615e+06,0
0.000117172,-11013.4,6.88338e+06,6.88338e+06,0
0.000117367,-11024.8,6.89048e+06,6.89048e+06,0
0.000117562,-11035.9,6.89743e+06,6.89743e+06,0
0.000117758,-11047,6.90434e+06,6.90434e+06,0
0.000117953,-11058.3,6.91145e+06,6.91145e+06,0
0.000118148,-11070.4,6.91898e+06,6.91898e+06,0
0.000118344,-11083.6,6.92724e+06,6.92724e+06,0
0.000118539,-11098.4,6.9365e+06,6.9365e+06,0
0.000118734,-11115,6.9469e+06,6.9469e+06,0
0.000118929,-11133.7,6.95857e+06,6.95857e+06,0
0.000119125,-11154.3,6.97141e+06,6.97141e+06,0
0.00011932,-11176.3,6.9852e+06,6.9852e+06,0
0.000119515,-11199.5,6.99971e+06,6.99971e+06,0
0.000119711,-11223.4,7.01465e+06,7.01465e+06,0
0.000119906,-11247.8,7.02987e+06,7.02987e+06,0
0.000120101,-11272.4,7.04526e+06,7.04526e+06,0
0.000120296,-11297.2,7.06073e+06,7.06073e+06,0
0.000120492,-11322,7.07628e+06,7.07628e+06,0
0.000120687,-11347,7.09188e+06,7.09188e+06,0
0.000120882,-11372,7.10753e+06,7.10753e+06,0
0.000121078,-11397.1,7.12319e+06,7.12319e+06,0
0.000121273,-11422.1,7.13884e+06,7.13884e+06,0
0.000121468,-11447.1,7.15445e+06,7.15445e+06,0
0.000121663,-11472.1,7.17006e+06,7.17006e+06,0
0.000121859,-11497.1,7.1857e+06,7.1857e+06,0
0.000122054,-11522.2,7.20136e+06,7.20136e+06,0
0.000122249,-11547.4,7.2171e+06,7.2171e+06,0
0.000122445,-11572.8,7.23301e+06,7.23301e+06,0
0.00012264,-11598.6,7.24914e+06,7.24914e+06,0
0.000122835,-11624.9,7.26556e+06,7.26556e+06,0
0.00012303,-11651.6,7.28227e+06,7.28227e+06,0
0.000123226,-11678.7,7.29919e+06,7.29919e+06,0
0.000123421,-11706,7.31627e+06,7.31627e+06,0
0.000123616,-11733.5,7.33346e+06,7.33346e+06,0
0.000123812,-11761.1,7.3507e+06,7.3507e+06,0
0.000124007,-11788.8,7.36802e+06,7.36802e+06,0
0.000124202,-11816.6,7.38538e+06,7.38538e+06,0
0.000124397,-11844.4,7.40272e+06,7.40272e+06,0
0.000124593,-11872,7.41998e+06,7.41998e+06,0
0.000124788,-11899.4,7.43712e+06,7.43712e+06,0
0.000124983,-11926.6,7.45412e+06,7.45412e+06,0
0.000125179,-11953.5,7.47092e+06,7.47092e+06,0
0.000125374,-11979.9,7.48745e+06,7.48745e+06,0
0.000125569,-12005.9,7.50367e+06,7.50367e+06,0
0.000125764,-12031.3,7.51955e+06,7.51955e+06,0
0.00012596,-12056.1,7.53509e+06,7.53509e+06,0
0.000126155,-12080.5,7.55029e+06,7.55029e+06,0
0.00012635,-12104.3,7.56516e+06,7.56516e+06,0
0.000126546,-12127.5,7.5797e+06,7.5797e+06,0
0.000126741,-12150.3,7.59396e+06,7.59396e+06,0
0.000126936,-12172.7,7.60793e+06,7.60793e+06,0
0.000127131,-12194.7,7.62168e+06,7.62168e+06,0
0.000127327,-12216.4,7.63523e+06,7.63523e+06,0
0.000127522,-12237.8,7.64861e+06,7.64861e+06,0
0.000127717,-12259,7.66188e+06,7.66188e+06,0
0.000127913,-12280.1,7.67508e+06,7.67508e+06,0
0.000128108,-12301.2,7.68824e+06,7.68824e+06,0
0.000128303,-12322.2,7.70138e+06,7.70138e+06,0
0.000128498,-12343.2,7.7145e+06,7.7145e+06,0
0.000128694,-12364.1,7.72758e+06,7.72758e+06,0
0.000128889,-12385,7.7406e+06,7.7406e+06,0
0.000129084,-12405.8,7.75363e+06,7.75363e+06,0
0.00012928,-12426.7,7.76672e+06,7.76672e+06,0
0.000129475,-12447.8,7.77988e+06,7.77988e+06,0
0.00012967,-12468.9,7.79309e+06,7.79309e+06,0
0.000129865,-12490.1,7.8063e+06,7.8063e+06,0
0.000130061,-12511.2,7.81949e+06,7.81949e+06,0
0.000130256,-12532.2,7.83262e+06,7.83262e+06,0
0.000130451,-12553.2,7.84573e+06,7.84573e+06,0
0.000130647,-12574.1,7.8588e+06,7.8588e+06,0
0.000130842,-12594.9,7.87181e+06,7.87181e+06,0
0.000131037,-12615.6,7.88475e+06,7.88475e+06,0
0.000131232,-12636.2,7.89762e+06,7.89762e+06,0
0.000131428,-12656.6,7.91036e+06,7.91036e+06,0
0.000131623,-12676.7,7.92295e+06,7.92295e+06,0
0.000131818,-12696.6,7.93536e+06,7.93536e+06,0
0.000132014,-12716.1,7.94755e+06,7.94755e+06,0
0.000132209,-12735.2,7.95951e+06,7.95951e+06,0
0.000132404,-12754,7.97122e+06,7.97122e+06,0
0.000132599,-12772.3,7.98267e+06,7.98267e+06,0
0.000132795,-12790.2,7.99385e+06,7.99385e+06,0
0.00013299,-12807.5,8.0047e+06,8.0047e+06,0
0.000133185,-12824.3,8.01519e+06,8.01519e+06,0
0.000133381,-12840.5,8.02531e+06,8.02531e+06,0
0.000133576,-12856,8.03502e+06,8.03502e+06,0
0.000133771,-12870.9,8.04432e+06,8.04432e+06,0
0.000133966,-12885.1,8.05321e+06,8.05321e+06,0
0.000134162,-12898.7,8.06168e+06,8.06168e+06,0
0.000134357,-12911.6,8.06975e+06,8.06975e+06,0
0.000134552,-12923.8,8.0774e+06,8.0774e+06,0
0.000134748,-12935.5,8.08471e+06,8.08471e+06,0
0.000134943,-12946.7,8.0917e+06,8.0917e+06,0
0.000135138,-12957.5,8.09847e+06,8.09847e+06,0
0.000135333,-12968.1,8.10508e+06,8.10508e+06,0
0.000135529,-12978.6,8.11162e+06,8.11162e+06,0
0.000135724,-12989.1,8.11817e+06,8.11817e+06,0
0.000135919,-12999.7,8.12481e+06,8.12481e+06,0
0.000136115,-13010.6,8.13164e+06,8.13164e+06,0
0.00013631,-13021.9,8.1387e+06,8.1387e+06,0
0.000136505,-13033.6,8.146e+06,8.146e+06,0
0.0001367,-13045.6,8.15352e+06,8.15352e+06,0
0.000136896,-13057.9,8.1612e+06,8.1612e+06,0
0.000137091,-13070.3,8.16896e+06,8.16896e+06,0
0.000137286,-13082.7,8.17671e+06,8.17671e+06,0
0.000137482,-13095.1,8.18442e+06,8.18442e+06,0
0.000137677,-13107.2,8.19202e+06,8.19202e+06,0
0.000137872,-13119.1,8.19941e+06,8.19941e+06,0
0.000138067,-13130.5,8.20655e+06,8.20655e+06,0
0.000138263,-13141.4,8.21337e+06,8.21337e+06,0
0.000138458,-13151.7,8.21982e+06,8.21982e+06,0
0.000138653,-13161.4,8.22586e+06,8.22586e+06,0
0.000138849,-13170.4,8.23148e+06,8.23148e+06,0
0.000139044,-13178.7,8.23668e+06,8.23668e+06,0
0.000139239,-13186.3,8.24143e+06,8.24143e+06,0
0.000139434,-13193.3,8.24579e+06,8.24579e+06,0
0.00013963,-13199.7,8.24979e+06,8.24979e+06,0
0.000139825,-13205.6,8.25349e+06,8.25349e+06,0
0.00014002,-13211.2,8.25701e+06,8.25701e+06,0
0.000140216,-13216.8,8.26048e+06,8.26048e+06,0
0.000140411,-13222.5,8.26408e+06,8.26408e+06,0
0.000140606,-13228.7,8.26793e+06,8.26793e+06,0
0.000140801,-13235.6,8.27223e+06,8.27223e+06,0
0.000140997,-13243.6,8.27723e+06,8.27723e+06,0
0.000141192,-13253.1,8.28317e+06,8.28317e+06,0
0.000141387,-13264.2,8.29013e+06,8.29013e+06,0
0.000141583,-13276.9,8.29809e+06,8.29809e+06,0
0.000141778,-13291,8.30689e+06,8.30689e+06,0
0.000141973,-13306.1,8.31631e+06,8.31631e+06,0
0.000142168,-13321.9,8.32618e+06,8.32618e+06,0
0.000142364,-13338.2,8.33634e+06,8.33634e+06,0
0.000142559,-13354.8,8.34672e+06,8.34672e+06,0
0.000142754,-13371.7,8.35733e+06,8.35733e+06,0
0.00014295,-13389.2,8.36825e+06,8.36825e+06,0
0.000143145,-13407.3,8.37955e+06,8.37955e+06,0
0.00014334,-13426.1,8.39133e+06,8.39133e+06,0
0.000143535,-13445.9,8.40367e+06,8.40367e+06,0
0.000143731,-13466.6,8.41665e+06,8.41665e+06,0
0.000143926,-13488.6,8.43036e+06,8.43036e+06,0
0.000144121,-13511.7,8.44483e+06,8.44483e+06,0
0.000144317,-13536,8.46002e+06,8.46002e+06,0
0.000144512,-13561.2,8.47575e+06,8.47575e+06,0
0.000144707,-13586.8,8.49178e+06,8.49178e+06,0
0.000144902,-13612.7,8.50791e+06,8.50791e+06,0
0.000145098,-13638.4,8.52402e+06,8.52402e+06,0
0.000145293,-13664,8.54003e+06,8.54003e+06,0
0.000145488,-13689.4,8.55587e+06,8.55587e+06,0
0.000145684,-13714.4,8.57148e+06,8.57148e+06,0
0.000145879,-13739,8.58684e+06,8.58684e+06,0
0.000146074,-13763.2,8.602e+06,8.602e+06,0
0.000146269,-13787.2,8.61699e+06,8.61699e+06,0
0.000146465,-13810.9,8.63184e+06,8.63184e+06,0
0.00014666,-13834.6,8.64664e+06,8.64664e+06,0
0.000146855,-13858.3,8.66144e+06,8.66144e+06,0
0.000147051,-13882.1,8.67631e+06,8.67631e+06,0
0.000147246,-13906.2,8.69137e+06,8.69137e+06,0
0.000147441,-13930.7,8.70672e+06,8.70672e+06,0
0.000147636,-13955.7,8.72234e+06,8.72234e+06,0
0.000147832,-13981.2,8.73826e+06,8.73826e+06,0
0.000148027,-14007.1,8.75447e+06,8.75447e+06,0
0.000148222,-14033.4,8.77089e+06,8.77089e+06,0
0.000148418,-14060,8.78748e+06,8.78748e+06,0
0.000148613,-14086.7,8.8042e+06,8.8042e+06,0
0.000148808,-14113.5,8.82092e+06,8.82092e+06,0
0.000149003,-14140.1,8.83755e+06,8.83755e+06,0
0.000149199,-14166.4,8.85399e+06,8.85399e+06,0
0.000149394,-14192.3,8.87016e+06,8.87016e+06,0
0.000149589,-14217.6,8.88601e+06,8.88601e+06,0
0.000149785,-14242.5,8.90155e+06,8.90155e+06,0
0.00014998,-14266.8,8.91674e+06,8.91674e+06,0
0.000150175,-14290.6,8.93164e+06,8.93164e+06,0
0.000150371,-14314,8.94626e+06,8.94626e+06,0
0.000150566,-14336.9,8.96057e+06,8.96057e+06,0
0.000150761,-14359.3,8.97457e+06,8.97457e+06,0
0.000150956,-14381.3,8.98828e+06,8.98828e+06,0
0.000151152,-14402.7,9.00168e+06,9.00168e+06,0
0.000151347,-14423.8,9.01486e+06,9.01486e+06,0
0.000151542,-14444.6,9.02786e+06,9.02786e+06,0
0.000151738,-14465,9.04064e+06,9.04064e+06,0
0.000151933,-14485.1,9.05322e+06,9.05322e+06,0
0.000152128,-14504.8,9.06552e+06,9.06552e+06,0
0.000152323,-14524.5,9.07784e+06,9.07784e+06,0
0.000152519,-14544.3,9.09018e+06,9.09018e+06,0
0.000152714,-14563.9,9.10243e+06,9.10243e+06,0
0.000152909,-14583.2,9.1145e+06,9.1145e+06,0
0.000153105,-14602.4,9.12647e+06,9.12647e+06,0
0.0001533,-14621.3,9.13833e+06,9.13833e+06,0
0.000153495,-14639.6,9.14975e+06,9.14975e+06,0
0.00015369,-14657,9.16065e+06,9.16065e+06,0
0.000153886,-14673.4,9.1709e+06,9.1709e+06,0
0.000154081,-14688.5,9.18031e+06,9.18031e+06,0
0.000154276,-14702.7,9.18919e+06,9.18919e+06,0
0.000154472,-14716.5,9.19779e+06,9.19779e+06,0
0.000154667,-14729,9.20565e+06,9.20565e+06,0
0.000154862,-14741.1,9.21321e+06,9.21321e+06,0
0.000155057,-14753,9.22063e+06,9.22063e+06,0
0.000155253,-14764.1,9.22758e+06,9.22758e+06,0
0.000155448,-14774.3,9.23393e+06,9.23393e+06,0
0.000155643,-14783.7,9.2398e+06,9.2398e+06,0
0.000155839,-14792.9,9.24557e+06,9.24557e+06,0
0.000156034,-14803.4,9.25214e+06,9.25214e+06,0
0.000156229,-14815.5,9.25966e+06,9.25966e+06,0
0.000156424,-14829.3,9.26828e+06,9.26828e+06,0
0.00015662,-14845.5,9.27843e+06,9.27843e+06,0
0.000156815,-14865.9,9.29121e+06,9.29121e+06,0
0.00015701,-14890,9.30622e+06,9.30622e+06,0
0.000157206,-14916.7,9.32297e+06,9.32297e+06,0
0.000157401,-14943.9,9.33993e+06,9.33993e+06,0
0.000157596,-14969.4,9.35586e+06,9.35586e+06,0
0.000157791,-14991,9.36938e+06,9.36938e+06,0
0.000157987,-15006.7,9.37921e+06,9.37921e+06,0
0.000158182,-15017.1,9.38569e+06,9.38569e+06,0
0.000158377,-15023.3,9.38957e+06,9.38957e+06,0
0.000158573,-15025.2,9.39075e+06,9.39075e+06,0
0.000158768,-15024.5,9.39033e+06,9.39075e+06,0
0.000158963,-15023,9.38937e+06,9.39075e+06,0
0.000159158,-15021.6,9.38852e+06,9.39075e+06,0
0.000159354,-15023.2,9.38952e+06,9.39075e+06,0
0.000159549,-15027.8,9.39238e+06,9.39238e+06,0
0.000159744,-15037.1,9.39819e+06,9.39819e+06,0
0.00015994,-15053.3,9.40831e+06,9.40831e+06,0
0.000160135,-15075.2,9.422e+06,9.422e+06,0
0.00016033,-15103.5,9.43971e+06,9.43971e+06,0
0.000160525,-15135.2,9.4595e+06,9.4595e+06,0
0.000160721,-15167.7,9.47978e+06,9.47978e+06,0
0.000160916,-15197.6,9.49851e+06,9.49851e+06,0
0.000161111,-15220.9,9.51305e+06,9.51305e+06,0
0.000161307,-15236.7,9.52295e+06,9.52295e+06,0
0.000161502,-15244.6,9.52785e+06,9.52785e+06,0
0.000161697,-15243.6,9.52726e+06,9.52828e+06,0
0.000161892,-15235.2,9.52198e+06,9.52828e+06,0
0.000162088,-15220.6,9.51288e+06,9.52828e+06,0
0.000162283,-15202,9.50128e+06,9.52828e+06,0
0.000162478,-15182,9.48874e+06,9.52828e+06,0
0.000162674,-15163.5,9.4772e+06,9.52828e+06,0
0.000162869,-15148.8,9.46801e+06,9.52828e+06,0
0.000163064,-15140.2,9.4626e+06,9.52828e+06,0
0.000163259,-15137.1,9.46071e+06,9.52828e+06,0
0.000163455,-15139.3,9.46207e+06,9.52828e+06,0
0.00016365,-15143.7,9.46481e+06,9.52828e+06,0
0.000163845,-15147.2,9.46697e+06,9.52828e+06,0
0.000164041,-15149.7,9.46854e+06,9.52828e+06,0
0.000164236,-15151.1,9.46941e+06,9.52828e+06,0
0.000164431,-15149.9,9.4687e+06,9.52828e+06,0
0.000164626,-15147.1,9.46693e+06,9.52828e+06,0
0.000164822,-15142.5,9.46407e+06,9.52828e+06,0
0.000165017,-15136,9.45998e+06,9.52828e+06,0
0.000165212,-15128.5,9.45531e+06,9.52828e+06,0
0.000165408,-15121.6,9.45099e+06,9.52828e+06,0
0.000165603,-15115.8,9.44736e+06,9.52828e+06,0
0.000165798,-15112.2,9.4451e+06,9.52828e+06,0
0.000165993,-15111.6,9.44472e+06,9.52828e+06,0
0.000166189,-15112.8,9.44553e+06,9.52828e+06,0
0.000166384,-15114,9.44625e+06,9.52828e+06,0
0.000166579,-15112.9,9.44555e+06,9.52828e+06,0
0.000166775,-15107.9,9.44242e+06,9.52828e+06,0
0.00016697,-15098.5,9.43657e+06,9.52828e+06,0
0.000167165,-15085.3,9.42829e+06,9.52828e+06,0
0.00016736,-15068.3,9.41771e+06,9.52828e+06,0
0.000167556,-15048.6,9.40538e+06,9.52828e+06,0
0.000167751,-15027.4,9.39211e+06,9.52828e+06,0
0.000167946,-15006.1,9.37879e+06,9.52828e+06,0
0.000168142,-14986.7,9.36671e+06,9.52828e+06,0
0.000168337,-14970.8,9.35678e+06,9.52828e+06,0
0.000168532,-14958.7,9.34918e+06,9.52828e+06,0
0.000168727,-14950.5,9.34408e+06,9.52828e+06,0
0.000168923,-14946.4,9.34151e+06,9.52828e+06,0
0.000169118,-14945.1,9.3407e+06,9.52828e+06,0
0.000169313,-14945.7,9.34108e+06,9.52828e+06,0
0.000169509,-14946.9,9.34183e+06,9.52828e+06,0
0.000169704,-14947.1,9.34191e+06,9.52828e+06,0
0.000169899,-14945,9.34063e+06,9.52828e+06,0
0.000170094,-14940.2,9.33764e+06,9.52828e+06,0
0.00017029,-14932.8,9.33301e+06,9.52828e+06,0
0.000170485,-14922.9,9.3268e+06,9.52828e+06,0
0.00017068,-14910.6,9.31915e+06,9.52828e+06,0
0.000170876,-14896.4,9.31022e+06,9.52828e+06,0
0.000171071,-14880.9,9.30053e+06,9.52828e+06,0
0.000171266,-14864.8,9.2905e+06,9.52828e+06,0
0.000171461,-14848.6,9.2804e+06,9.52828e+06,0
0.000171657,-14833.1,9.27067e+06,9.52828e+06,0
0.000171852,-14818.8,9.26173e+06,9.52828e+06,0
0.000172047,-14806.2,9.25389e+06,9.52828e+06,0
0.000172243,-14795.5,9.24719e+06,9.52828e+06,0
0.000172438,-14786.2,9.24139e+06,9.52828e+06,0
0.000172633,-14778,9.23623e+06,9.52828e+06,0
0.000172828,-14770,9.23124e+06,9.52828e+06,0
0.000173024,-14762.1,9.22631e+06,9.52828e+06,0
0.000173219,-14754.1,9.22129e+06,9.52828e+06,0
0.000173414,-14745.8,9.21615e+06,9.52828e+06,0
0.00017361,-14737.6,9.21099e+06,9.52828e+06,0
0.000173805,-14729.8,9.20614e+06,9.52828e+06,0
0.000174,-14722.8,9.20174e+06,9.52828e+06,0
0.000174195,-14716.4,9.19774e+06,9.52828e+06,0
0.000174391,-14710.6,9.19412e+06,9.52828e+06,0
0.000174586,-14705.4,9.19087e+06,9.52828e+06,0
0.000174781,-14700.7,9.18793e+06,9.52828e+06,0
0.000174977,-14696.2,9.18512e+06,9.52828e+06,0
0.000175172,-14691.7,9.18232e+06,9.52828e+06,0
0.000175367,-14687,9.17938e+06,9.52828e+06,0
0.000175562,-14681.8,9.17611e+06,9.52828e+06,0
0.000175758,-14675.7,9.1723e+06,9.52828e+06,0
