kind,id,classe,nfac,area_mm2,rmin_mm,rmax_mm,length_mm,zmin_mm,zmax_mm,n_er,n_z,orient,azimut_deg
component,61,peripherique,1,0.8910,7.0004,8.1649,1.1645,6.7181,7.9840,0.3266,0.6115,horizontale,-95.4
component,62,peripherique,1,1.2001,7.6674,7.9556,0.2883,9.0166,11.2322,0.9667,0.0438,conique,174.4
component,63,peripherique,1,0.6524,7.2559,8.5798,1.3239,4.6849,5.7713,0.2145,0.1884,radiale,41.4
component,64,peripherique,1,0.6548,6.0197,7.1984,1.1787,5.7402,6.7212,0.2601,0.5353,radiale,48.4
component,65,peripherique,1,0.8051,8.8649,10.2515,1.3867,3.8972,5.1268,0.3627,0.3953,conique,90.1
component,66,centrale,1,0.6934,3.1527,4.7639,1.6112,10.5532,11.5352,0.1566,0.1770,radiale,111.8
component,67,centrale,1,3.3134,3.8552,6.2448,2.3896,11.4074,13.5237,0.0885,0.7014,horizontale,-133.3
component,68,peripherique,1,0.8431,7.1936,8.5296,1.3360,3.1583,4.0005,0.3540,0.7621,horizontale,-72.3
component,69,peripherique,1,1.3328,9.4968,10.7342,1.2374,6.7946,8.4524,0.7265,0.6232,horizontale,96.1
component,70,peripherique,1,0.6817,8.3452,9.6044,1.2591,5.9982,6.7946,0.3337,0.8286,horizontale,93.6
component,71,peripherique,1,0.5989,6.3690,7.0747,0.7058,4.5516,5.5538,0.6626,0.5191,conique,-150.2
component,72,centrale,1,0.8763,5.5313,7.0522,1.5209,9.1924,9.8510,0.3171,0.9252,horizontale,-158.7
component,73,peripherique,1,0.8101,6.0490,7.0747,1.0257,5.3120,6.6529,0.6184,0.1153,conique,-151.7
component,74,centrale,1,0.8890,2.6106,3.2639,0.6534,10.1103,11.7538,0.8421,0.0029,conique,151.8
component,75,peripherique,1,3.8420,6.3752,8.6117,2.2365,17.7874,20.6415,0.5860,0.2091,conique,97.7
component,76,centrale,1,0.9578,2.6446,3.8552,1.2106,10.2528,11.5558,0.7176,0.6950,horizontale,-136.7
component,77,peripherique,1,0.6951,6.3110,7.0522,0.7412,8.5887,9.8510,0.8586,0.4204,conique,-158.3
arm,0,bras,344,407.7740,4.9754,19.8285,14.8530,0.0000,20.7750,0.3416,0.4268,radiale,98.1
arm,1,bras,272,217.1711,5.0445,12.3999,7.3554,0.0000,13.4087,0.3624,0.5147,conique,-20.5
arm,2,bras,260,276.7920,5.2090,17.8384,12.6294,0.0000,17.8613,0.3226,0.4825,radiale,171.1
arm,3,bras,243,302.0813,4.9262,17.3707,12.4445,0.0000,22.3674,0.4557,0.4664,conique,-92.4
arm,4,bras,21,17.8528,5.3265,12.0366,6.7101,0.0000,3.2260,0.2671,0.3389,radiale,-32.2
arm,5,bras,16,12.9076,5.4295,7.9277,2.4982,2.8839,5.2348,0.3761,0.6473,horizontale,-83.1
arm,6,bras,8,6.7855,5.6477,7.5806,1.9328,6.5522,9.1071,0.2187,0.7587,horizontale,43.7
arm,7,bras,4,2.9669,5.2135,6.7881,1.5746,4.9945,6.1655,0.3417,0.4697,radiale,156.7
arm,8,bras,3,3.7323,6.1122,7.9513,1.8391,9.3915,11.8923,0.4354,0.6133,horizontale,-52.6
arm,9,bras,3,2.5576,5.8473,7.5101,1.6628,5.0699,6.0640,0.2840,0.7185,horizontale,11.6
