kind,id,classe,nfac,area_mm2,rmin_mm,rmax_mm,length_mm,zmin_mm,zmax_mm,n_er,n_z,orient,azimut_deg
component,0,noyau,374,1438.7998,0.7216,14.0113,13.2897,0.0000,8.7604,0.4943,0.4651,conique,124.2
component,1,centrale,1,2.2993,5.1477,7.3270,2.1793,0.0000,2.2206,0.4266,0.2704,conique,85.5
arm,0,bras,52,169.9303,5.1387,11.6012,6.4626,0.0000,2.8345,0.4878,0.4608,conique,9.9
arm,1,bras,29,109.0511,4.7852,11.5928,6.8076,0.0000,3.4019,0.4372,0.4591,conique,172.0
arm,2,bras,23,92.0009,4.5495,11.4010,6.8515,0.0000,3.2406,0.4941,0.4155,conique,-119.5
arm,3,bras,17,58.7231,5.1477,14.0113,8.8636,0.0000,3.2155,0.3773,0.5785,conique,92.0
arm,4,bras,1,4.7193,4.4131,7.3791,2.9660,3.1063,5.1985,0.0003,0.7572,horizontale,134.3
