kind,id,classe,nfac,area_mm2,rmin_mm,rmax_mm,length_mm,zmin_mm,zmax_mm,n_er,n_z,orient,azimut_deg
component,0,noyau,292,1162.7352,0.7216,14.0113,13.2897,0.0000,10.3166,0.5025,0.4711,conique,107.6
component,1,peripherique,1,3.0158,7.5994,10.3189,2.7196,0.0000,1.8085,0.1547,0.5457,radiale,-19.2
component,2,centrale,1,4.3661,1.3650,4.7200,3.3550,4.9256,7.4588,0.1770,0.3764,radiale,-36.9
arm,0,bras,17,60.0210,5.1477,14.0113,8.8636,0.0000,3.2155,0.3784,0.5852,conique,92.3
arm,1,bras,16,52.8571,5.7715,10.6452,4.8737,0.0000,2.7501,0.5051,0.4534,conique,14.6
arm,2,bras,6,24.4777,4.8111,8.8071,3.9960,0.0000,3.2406,0.4858,0.3544,conique,-120.1
arm,3,bras,2,7.0156,5.4718,8.0210,2.5492,0.0000,2.6583,0.4772,0.2670,conique,55.3
arm,4,bras,2,6.3664,5.3538,7.5994,2.2455,0.0000,2.5562,0.5230,0.2356,conique,-22.4
arm,5,bras,1,2.6667,5.3623,7.0833,1.7211,0.0000,1.9703,0.8037,0.4730,conique,148.6
