kind,id,classe,nfac,area_mm2,rmin_mm,rmax_mm,length_mm,zmin_mm,zmax_mm,n_er,n_z,orient,azimut_deg
component,0,noyau,424,1664.2535,0.7216,14.5132,13.7915,0.0000,8.7604,0.4908,0.4742,conique,117.4
arm,0,bras,88,310.1040,5.1387,14.5132,9.3745,0.0000,3.2155,0.4366,0.5196,conique,32.7
arm,1,bras,29,118.6107,4.5495,11.4010,6.8515,0.0000,3.4957,0.4191,0.4744,conique,-122.4
arm,2,bras,27,98.2008,4.7852,11.5928,6.8076,0.0000,3.4019,0.4611,0.4423,conique,174.5
arm,3,bras,2,7.5605,6.1220,8.8489,2.7269,0.0000,3.1063,0.6270,0.3451,conique,126.1
arm,4,bras,1,4.7193,4.4131,7.3791,2.9660,3.1063,5.1985,0.0003,0.7572,horizontale,134.3
