kind,id,classe,nfac,area_mm2,rmin_mm,rmax_mm,length_mm,zmin_mm,zmax_mm,n_er,n_z,orient,azimut_deg
component,0,noyau,8690,8312.1310,0.3867,24.9874,24.6008,0.0000,32.6085,0.4615,0.4588,conique,70.0
component,1,peripherique,6,5.7186,8.6044,13.1764,4.5720,4.1274,6.4705,0.1913,0.2192,radiale,-111.7
component,2,centrale,4,2.4762,5.7776,7.2761,1.4985,7.7837,9.5596,0.5195,0.5170,conique,-14.6
component,3,peripherique,3,8.7537,8.1008,12.1089,4.0081,15.3649,19.2124,0.4783,0.3329,conique,31.0
component,4,peripherique,3,2.0605,9.1641,10.0231,0.8591,4.9044,6.9315,0.7620,0.3614,conique,84.2
component,5,peripherique,3,2.8654,7.6600,9.7458,2.0857,6.4774,9.4173,0.5049,0.3876,conique,-115.7
component,6,centrale,3,2.3488,5.6413,7.1679,1.5266,8.6605,10.4163,0.3132,0.6592,horizontale,-134.2
component,7,peripherique,2,2.2945,11.8139,13.3463,1.5324,0.0000,2.8859,0.1842,0.0984,radiale,-54.9
component,8,peripherique,2,2.8052,8.0786,10.8113,2.7327,6.7395,7.7994,0.1923,0.8899,horizontale,-57.4
component,9,peripherique,2,1.7447,7.8012,8.9981,1.1968,7.1818,8.8013,0.5882,0.3923,conique,-0.6
component,10,peripherique,2,3.9304,9.7473,13.2377,3.4904,6.6209,7.8346,0.2105,0.7753,horizontale,82.4
component,11,peripherique,2,3.4161,9.8834,13.1330,3.2496,5.5774,6.0383,0.1058,0.9700,horizontale,20.9
component,12,peripherique,2,1.6843,6.6229,7.7487,1.1258,2.4566,2.9048,0.0644,0.9751,horizontale,-85.0
component,13,peripherique,2,1.1399,9.6011,11.3917,1.7906,4.9424,5.9218,0.3081,0.1130,radiale,-32.1
component,14,peripherique,2,1.5839,7.9827,9.1074,1.1248,4.3588,6.1655,0.6145,0.2013,conique,-142.5
component,15,peripherique,2,1.7889,8.4116,9.5496,1.1380,4.1798,5.9876,0.3763,0.3312,conique,-28.1
component,16,peripherique,2,1.3991,7.3424,8.9861,1.6437,6.0539,7.0804,0.5434,0.3043,conique,-20.4
component,17,peripherique,2,1.3811,8.5969,9.9044,1.3075,5.4957,6.5248,0.2799,0.8313,horizontale,54.4
component,18,peripherique,2,1.4700,8.9644,10.3967,1.4324,5.0756,6.0421,0.1462,0.7071,horizontale,14.9
component,19,peripherique,1,0.8198,7.7169,8.6051,0.8882,0.0000,0.9930,0.3191,0.7909,horizontale,125.5
component,20,peripherique,1,1.7099,9.2548,11.6721,2.4173,7.7994,9.2036,0.0848,0.3392,radiale,-51.0
component,21,peripherique,1,0.7048,8.0685,8.4142,0.3457,7.7176,8.8315,0.9333,0.2162,conique,-56.4
component,22,peripherique,1,1.0472,6.4331,7.9984,1.5653,8.9691,9.6832,0.3547,0.7821,horizontale,-27.6
component,23,peripherique,1,0.8713,7.2010,8.5194,1.3184,8.8013,10.2512,0.0921,0.0755,radiale,-9.5
component,24,peripherique,1,1.1991,7.5763,9.2713,1.6950,7.0741,7.7735,0.2058,0.8693,horizontale,-67.1
component,25,peripherique,1,0.8236,6.1313,7.7703,1.6390,1.0684,1.7791,0.0463,0.7739,horizontale,-89.6
component,26,peripherique,1,2.8878,7.1596,9.5134,2.3538,10.0119,11.1025,0.4119,0.9103,horizontale,16.3
component,27,peripherique,1,2.7296,7.7289,10.0944,2.3655,8.0112,10.0287,0.5398,0.1935,conique,-0.2
component,28,peripherique,1,0.8330,7.0895,8.8193,1.7298,7.3432,7.8750,0.0153,0.8453,horizontale,80.8
component,29,peripherique,1,3.8058,9.5155,12.1876,2.6721,7.9345,9.9847,0.4778,0.7778,horizontale,75.8
component,30,peripherique,1,0.8669,7.4538,9.1582,1.7044,4.7151,5.6459,0.4324,0.1877,conique,71.4
component,31,peripherique,1,0.7434,7.5748,9.2304,1.6556,7.8489,7.9226,0.0493,0.9986,horizontale,72.7
component,32,peripherique,1,0.6215,7.5806,8.5829,1.0023,7.1277,8.1919,0.6135,0.7221,horizontale,25.4
component,33,peripherique,1,2.6130,10.9037,12.9001,1.9963,10.7485,12.7683,0.4115,0.5257,conique,-62.5
component,34,peripherique,1,2.2761,9.6850,11.2752,1.5902,5.5774,8.7934,0.2285,0.1618,radiale,28.4
component,35,peripherique,1,0.7736,6.8076,8.1728,1.3651,2.5252,3.1601,0.3540,0.9174,horizontale,70.7
component,36,peripherique,1,1.2844,10.1067,11.4306,1.3239,5.2831,8.1982,0.5583,0.3503,conique,-105.5
component,37,peripherique,1,0.6919,6.8657,8.3010,1.4353,1.3224,1.5321,0.0666,0.9798,horizontale,-149.2
component,38,peripherique,1,3.8920,16.7461,19.7438,2.9978,6.1655,8.7643,0.1929,0.5190,radiale,-102.8
component,39,peripherique,1,0.5502,8.4681,9.5884,1.1203,6.8421,6.9909,0.0097,0.9889,horizontale,-155.0
component,40,peripherique,1,0.5335,7.7620,8.7010,0.9390,2.6794,3.3136,0.0682,0.8560,horizontale,14.4
component,41,peripherique,1,0.6787,7.0686,7.8887,0.8201,3.5304,4.8978,0.5876,0.0089,conique,-100.9
component,42,peripherique,1,0.7051,8.2636,9.3998,1.1362,4.0212,5.2281,0.1900,0.1346,radiale,-0.5
component,43,peripherique,1,0.5952,8.2970,9.4512,1.1542,4.0212,4.3672,0.2285,0.9669,horizontale,3.1
component,44,peripherique,1,0.8285,8.1503,9.8165,1.6661,6.1655,6.9044,0.1105,0.7946,horizontale,118.4
